pdb_id,site,glycan_class,tool_a,tool_b,comparison,n_common_residues,n_residues_tool_a,n_residues_tool_b,coverage_tool_a,coverage_tool_b,pearson_mean_delta_sasa,spearman_mean_delta_sasa,mae_mean_delta_sasa_a2,rmse_mean_delta_sasa_a2,sum_mean_delta_sasa_tool_a,sum_mean_delta_sasa_tool_b,delta_sum_mean_delta_sasa_b_minus_a,pearson_masking_frequency,spearman_masking_frequency,mae_masking_frequency,masked_residues_tool_a,masked_residues_tool_b,masked_residue_overlap,masked_residue_union,masked_residue_jaccard
1BHG,ASN173_A,high_mannose,reference,glycoshield,reference_vs_glycoshield,1222,1222,1222,1.0,1.0,0.26341057722637584,0.5487326259964548,0.5773280548281505,4.460421679436414,590.430393,283.228322,-307.202071,0.3748750865392354,0.5718459747213451,0.021658478723404255,24,49,20,53,0.37735849056603776
1BHG,ASN173_B,high_mannose,reference,glycoshield,reference_vs_glycoshield,1222,1222,1222,1.0,1.0,0.2950773624698763,0.44843496701958757,0.5537894206219313,4.527821991996967,571.219019,275.792059,-295.42696,0.32701399183578683,0.4741145064856329,0.021276597381342063,22,55,17,60,0.2833333333333333
1OYH,ASN192_L,paucimannose,reference,glycoshield,reference_vs_glycoshield,826,826,826,1.0,1.0,0.6452454986721193,0.517118075872334,0.136947897094431,2.02847062943503,112.02838600000001,115.246053,3.2176669999999916,0.9090048195565625,0.5462960746256499,0.0033091174334140432,5,17,5,17,0.29411764705882354
1OYH,ASN192_L,paucimannose,reference,glycoshape,reference_vs_glycoshape,826,826,826,1.0,1.0,0.9387584318172353,0.6324453686080063,0.052475717917675545,0.900442770693175,112.02838600000001,78.87428899999999,-33.15409700000002,0.7078002907829778,0.6322540603883665,0.004156576271186441,5,8,4,9,0.4444444444444444
1OYH,ASN192_L,paucimannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,826,826,826,1.0,1.0,0.6610693799703944,0.4861580619745757,0.12344395157384988,1.8623236519323016,115.246053,78.87428899999999,-36.37176400000001,0.798206269568621,0.5135442227400401,0.0035916041162227606,17,8,6,19,0.3157894736842105
2J1G,ASN215_B,paucimannose,reference,glycoshield,reference_vs_glycoshield,1279,1279,1279,1.0,1.0,0.6652074337741589,0.31800923078638726,0.1861567138389367,1.9011028978252635,162.425846,167.305419,4.8795729999999935,0.39103513649451654,0.3264260114100302,0.00972113291634089,8,41,6,43,0.13953488372093023
2J1G,ASN215_B,paucimannose,reference,glycoshape,reference_vs_glycoshape,1279,1279,1279,1.0,1.0,0.9779059348626247,0.8177746677142307,0.044735522283033624,0.7121716725612756,162.425846,120.46280700000001,-41.963038999999995,0.933952586725937,0.8177725721695147,0.002606201720093824,8,12,8,12,0.6666666666666666
2J1G,ASN215_B,paucimannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,1279,1279,1279,1.0,1.0,0.6858582613547223,0.39194201354439184,0.15027734010946053,1.4680454845000737,167.305419,120.46280700000001,-46.84261199999999,0.4750439357050408,0.40148056822577227,0.007896792025019547,41,12,9,44,0.20454545454545456
2PE4,ASN350_A,paucimannose,reference,glycoshield,reference_vs_glycoshield,417,417,417,1.0,1.0,0.3304293951575402,0.41570883693522004,0.8187270815347722,3.934200857219632,231.515131,205.536002,-25.979129,0.3741949385691035,0.40312050241262654,0.040047956834532376,11,52,10,53,0.18867924528301888
2PE4,ASN350_A,paucimannose,reference,glycoshape,reference_vs_glycoshape,417,417,417,1.0,1.0,0.9380278112896877,0.842188294526932,0.1834022182254197,1.5031286987394452,231.515131,229.192698,-2.3224329999999895,0.9295723957973285,0.8101936599702557,0.007354119904076738,11,17,11,17,0.6470588235294118
2PE4,ASN350_A,paucimannose,glycoshield,glycoshape,glycoshield_vs_glycoshape,417,417,417,1.0,1.0,0.3576251200085912,0.4378791612008297,0.7829168729016787,4.093048480388533,205.536002,229.192698,23.65669600000001,0.4176745849019378,0.447604783353112,0.04164668105515588,52,17,14,55,0.2545454545454545
2QL1,ASN297_A,complex,reference,glycoshield,reference_vs_glycoshield,209,209,209,1.0,1.0,0.2500256830486147,0.637984423364492,2.719697043062201,11.416888264617665,585.47634,93.94990800000002,-491.526432,0.3863145802358378,0.5637855239333528,0.08867623444976076,21,11,9,23,0.391304347826087
2QL1,ASN297_A,complex,reference,glycoshape,reference_vs_glycoshape,209,209,209,1.0,1.0,0.8740824422535296,0.7729079604525535,1.4594157129186602,6.485315803199287,585.47634,304.431256,-281.04508400000003,0.7926973260800422,0.8187337813809851,0.04688994736842105,21,20,17,24,0.7083333333333334
2QL1,ASN297_A,complex,glycoshield,glycoshape,glycoshield_vs_glycoshape,209,209,209,1.0,1.0,0.30233467483819365,0.6476759975936147,1.475465043062201,7.019605667783445,93.94990800000002,304.431256,210.481348,0.3973026778515124,0.6013500043693438,0.05582137799043062,11,20,9,22,0.4090909090909091
