type,path,filename
figure,deliverables/figures/fig_dataset_overview_table.pdf,fig_dataset_overview_table.pdf
figure,deliverables/figures/fig_dataset_overview_table.png,fig_dataset_overview_table.png
figure,deliverables/figures/fig_global_min_rmsd_by_class.pdf,fig_global_min_rmsd_by_class.pdf
figure,deliverables/figures/fig_global_min_rmsd_by_class.png,fig_global_min_rmsd_by_class.png
figure,deliverables/figures/fig_global_rg_typicity_by_class.pdf,fig_global_rg_typicity_by_class.pdf
figure,deliverables/figures/fig_global_rg_typicity_by_class.png,fig_global_rg_typicity_by_class.png
figure,deliverables/figures/fig_global_span_typicity_by_class.pdf,fig_global_span_typicity_by_class.pdf
figure,deliverables/figures/fig_global_span_typicity_by_class.png,fig_global_span_typicity_by_class.png
figure,deliverables/figures/fig_local_median_circular_distance_omega_by_class.pdf,fig_local_median_circular_distance_omega_by_class.pdf
figure,deliverables/figures/fig_local_median_circular_distance_omega_by_class.png,fig_local_median_circular_distance_omega_by_class.png
figure,deliverables/figures/fig_local_median_circular_distance_phi_by_class.pdf,fig_local_median_circular_distance_phi_by_class.pdf
figure,deliverables/figures/fig_local_median_circular_distance_phi_by_class.png,fig_local_median_circular_distance_phi_by_class.png
figure,deliverables/figures/fig_local_median_circular_distance_psi_by_class.pdf,fig_local_median_circular_distance_psi_by_class.pdf
figure,deliverables/figures/fig_local_median_circular_distance_psi_by_class.png,fig_local_median_circular_distance_psi_by_class.png
figure,deliverables/figures/fig_local_pucker_agreement_by_class.pdf,fig_local_pucker_agreement_by_class.pdf
figure,deliverables/figures/fig_local_pucker_agreement_by_class.png,fig_local_pucker_agreement_by_class.png
figure,deliverables/figures/fig_local_pucker_disagreement_by_class.pdf,fig_local_pucker_disagreement_by_class.pdf
figure,deliverables/figures/fig_local_pucker_disagreement_by_class.png,fig_local_pucker_disagreement_by_class.png
figure,deliverables/figures/fig_shielding_masked_residue_jaccard_by_class.pdf,fig_shielding_masked_residue_jaccard_by_class.pdf
figure,deliverables/figures/fig_shielding_masked_residue_jaccard_by_class.png,fig_shielding_masked_residue_jaccard_by_class.png
figure,deliverables/figures/fig_shielding_pearson_delta_sasa_by_class.pdf,fig_shielding_pearson_delta_sasa_by_class.pdf
figure,deliverables/figures/fig_shielding_pearson_delta_sasa_by_class.png,fig_shielding_pearson_delta_sasa_by_class.png
figure,deliverables/figures/fig_shielding_total_delta_sasa_by_class.pdf,fig_shielding_total_delta_sasa_by_class.pdf
figure,deliverables/figures/fig_shielding_total_delta_sasa_by_class.png,fig_shielding_total_delta_sasa_by_class.png
table,deliverables/tables/.~lock.table_dataset_overview.csv#,.~lock.table_dataset_overview.csv#
table,deliverables/tables/table_dataset_overview.csv,table_dataset_overview.csv
table,deliverables/tables/table_fig_global_min_rmsd_by_class_paired_bootstrap.csv,table_fig_global_min_rmsd_by_class_paired_bootstrap.csv
table,deliverables/tables/table_fig_global_min_rmsd_by_class_summary.csv,table_fig_global_min_rmsd_by_class_summary.csv
table,deliverables/tables/table_fig_global_rg_typicity_by_class_paired_bootstrap.csv,table_fig_global_rg_typicity_by_class_paired_bootstrap.csv
table,deliverables/tables/table_fig_global_rg_typicity_by_class_summary.csv,table_fig_global_rg_typicity_by_class_summary.csv
table,deliverables/tables/table_fig_global_span_typicity_by_class_paired_bootstrap.csv,table_fig_global_span_typicity_by_class_paired_bootstrap.csv
table,deliverables/tables/table_fig_global_span_typicity_by_class_summary.csv,table_fig_global_span_typicity_by_class_summary.csv
table,deliverables/tables/table_fig_local_median_circular_distance_omega_by_class_paired_bootstrap.csv,table_fig_local_median_circular_distance_omega_by_class_paired_bootstrap.csv
table,deliverables/tables/table_fig_local_median_circular_distance_omega_by_class_summary.csv,table_fig_local_median_circular_distance_omega_by_class_summary.csv
table,deliverables/tables/table_fig_local_median_circular_distance_phi_by_class_paired_bootstrap.csv,table_fig_local_median_circular_distance_phi_by_class_paired_bootstrap.csv
table,deliverables/tables/table_fig_local_median_circular_distance_phi_by_class_summary.csv,table_fig_local_median_circular_distance_phi_by_class_summary.csv
table,deliverables/tables/table_fig_local_median_circular_distance_psi_by_class_paired_bootstrap.csv,table_fig_local_median_circular_distance_psi_by_class_paired_bootstrap.csv
table,deliverables/tables/table_fig_local_median_circular_distance_psi_by_class_summary.csv,table_fig_local_median_circular_distance_psi_by_class_summary.csv
table,deliverables/tables/table_fig_local_pucker_disagreement_by_class_paired_bootstrap.csv,table_fig_local_pucker_disagreement_by_class_paired_bootstrap.csv
table,deliverables/tables/table_fig_local_pucker_disagreement_by_class_summary.csv,table_fig_local_pucker_disagreement_by_class_summary.csv
table,deliverables/tables/table_fig_shielding_masked_residue_jaccard_by_class_summary.csv,table_fig_shielding_masked_residue_jaccard_by_class_summary.csv
table,deliverables/tables/table_fig_shielding_pearson_delta_sasa_by_class_summary.csv,table_fig_shielding_pearson_delta_sasa_by_class_summary.csv
table,deliverables/tables/table_fig_shielding_total_delta_sasa_by_class_paired_bootstrap.csv,table_fig_shielding_total_delta_sasa_by_class_paired_bootstrap.csv
table,deliverables/tables/table_fig_shielding_total_delta_sasa_by_class_summary.csv,table_fig_shielding_total_delta_sasa_by_class_summary.csv
table,deliverables/tables/table_global_shape_summary.csv,table_global_shape_summary.csv
table,deliverables/tables/table_local_puckering_summary.csv,table_local_puckering_summary.csv
table,deliverables/tables/table_local_torsion_summary.csv,table_local_torsion_summary.csv
table,deliverables/tables/table_shielding_model_summary.csv,table_shielding_model_summary.csv
table,deliverables/tables/table_shielding_profile_summary.csv,table_shielding_profile_summary.csv
table,deliverables/tables/table_triple_site_counts.csv,table_triple_site_counts.csv
