glycan_class,tool,section,n_rows,n_cases,median_total_positive_delta_sasa_a2,mean_total_positive_delta_sasa_a2,median_n_masked_residues,mean_masked_residue_fraction,comparison,median_pearson_mean_delta_sasa,median_spearman_mean_delta_sasa,median_mae_mean_delta_sasa_a2,median_masked_residue_jaccard
complex,glycoshape,model_totals,240,8.0,288.422948,268.4882584875,11.0,0.03152570305203062,,,,,
complex,glycoshield,model_totals,240,8.0,136.8237325,159.670004775,6.0,0.016818771134458548,,,,,
complex,reference,model_totals,8,8.0,482.1517605,478.59546025,16.5,0.048956946180520475,,,,,
high_mannose,glycoshape,model_totals,210,7.0,316.92481499999997,327.039479947619,14.0,0.008009955489782046,,,,,
high_mannose,glycoshield,model_totals,270,9.0,289.9868355,294.99732060370366,12.0,0.007002133772009402,,,,,
high_mannose,reference,model_totals,9,9.0,450.265472,450.29843844444446,18.0,0.011580767555533649,,,,,
paucimannose,glycoshape,model_totals,180,6.0,145.2299875,159.60245176111113,5.0,0.012338086351080484,,,,,
paucimannose,glycoshield,model_totals,180,6.0,162.63850100000002,171.7135793388889,8.0,0.013815500018715985,,,,,
paucimannose,reference,model_totals,6,6.0,193.391312,192.622102,9.5,0.01589773244041428,,,,,
complex,,profile_comparison,8,,,,,,glycoshield_vs_glycoshape,0.5566557063615274,0.5434101320951489,0.6578899093078758,0.3614081996434938
complex,,profile_comparison,8,,,,,,reference_vs_glycoshape,0.790266345176704,0.7258574387304314,0.7221930393794749,0.5683229813664596
complex,,profile_comparison,8,,,,,,reference_vs_glycoshield,0.36573961798741905,0.41294422521186924,1.1985268126491646,0.25125448028673836
high_mannose,,profile_comparison,7,,,,,,glycoshield_vs_glycoshape,0.8627753476194551,0.5967755646246248,0.03620893436819172,0.3620689655172414
high_mannose,,profile_comparison,7,,,,,,reference_vs_glycoshape,0.9407654008611637,0.8545148005998168,0.0192689464869281,0.7619047619047619
high_mannose,,profile_comparison,9,,,,,,reference_vs_glycoshield,0.7554896362069689,0.5374510339173055,0.16723921649484533,0.2982456140350877
paucimannose,,profile_comparison,6,,,,,,glycoshield_vs_glycoshape,0.6892084746642644,0.5184663111371356,0.2079721490706492,0.3007518796992481
paucimannose,,profile_comparison,6,,,,,,reference_vs_glycoshape,0.9429574229659895,0.8009169289347885,0.11793896807154762,0.6470588235294118
paucimannose,,profile_comparison,6,,,,,,reference_vs_glycoshield,0.6312701416011048,0.46641345640377707,0.2823200255157057,0.2413984461709212
